Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;184201;4;82604;3;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;184201;4;82604;3;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.2665E+07;0;4.660544E+08;0;0;7.752801E+07;0;0;3.7882E+08;0;0;7.027317E+07;0;0;5.888031E+08;0;0;1.132784E+08;1560;0;11162;0;0;620;0;0;14246;0;0;1844;0;0;23496;0;0;5662;
2;0;0;196560;7;381024;14;184201;4;82604;3;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.878551E+07;0;1.723347E+08;0;8812316;5.410567E+07;0;6.016746E+07;1.427123E+08;0;1.347477E+07;3.777046E+07;0;0;6.216537E+08;0;3.079539E+07;6.986598E+07;2184;0;4800;0;118;1442;0;2282;7050;0;488;1108;0;0;29108;0;850;1352;
3;0;0;196560;7;381024;14;184201;4;82604;3;308416;14;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.031001E+07;0;1.270786E+08;0;1.775249E+07;4.070521E+07;0;5.335114E+07;1.327775E+08;0;7502326;3.778323E+07;0;0;6.093511E+08;0;1.50498E+07;6.638682E+07;1560;0;2706;0;590;1140;0;1942;4708;0;354;1050;0;0;23538;0;1468;1742;
4;0;0;196560;7;381024;14;184201;4;82604;3;308416;14;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.762274E+07;0;1.708312E+08;0;7400618;5.139631E+07;0;5.298714E+07;1.251045E+08;0;1.484494E+07;3.543886E+07;0;0;4.743662E+08;0;3.960605E+07;8.378204E+07;1872;0;3860;0;0;1340;0;1944;6520;0;420;1048;0;0;16024;0;808;4172;
5;0;0;196560;7;381024;14;184201;4;82604;3;308416;13;0;3;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6.489365E+07;0;1.189537E+08;0;2.396948E+07;4.245573E+07;0;5.228196E+07;1.30256E+08;0;7458106;3.938601E+07;0;0;5.346738E+08;0;1.647441E+07;6.994006E+07;1872;0;2702;0;750;1282;0;2250;5748;0;530;1224;0;0;17280;0;896;1684;
6;0;0;196560;7;381024;14;184201;4;82604;3;308416;13;2;2;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.640762E+07;0;1.871018E+08;0;7341948;5.368268E+07;0;5.159334E+07;1.275257E+08;0;1.288509E+07;3.539665E+07;0;0;5.023373E+08;0;3.297381E+07;8.619113E+07;1872;0;4590;0;236;1866;0;1944;5720;0;414;1046;0;0;18278;0;786;2860;
7;0;0;196560;7;381024;14;184201;4;82604;3;308416;13;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.483349E+07;0;1.203373E+08;0;2.091654E+07;4.219683E+07;0;5.177882E+07;1.277496E+08;0;7795172;3.919465E+07;0;0;5.101699E+08;0;1.649859E+07;6.957698E+07;1872;0;3124;0;472;1346;0;1934;5782;0;530;1240;0;0;17758;0;842;2788;
8;0;0;196560;6;381024;10;184201;3;82604;2;308416;11;0;1;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;2;6.618194E+07;0;1.926442E+08;0;8215736;5.320297E+07;0;5.104602E+07;1.261008E+08;0;1.212891E+07;3.556219E+07;0;0;5.416658E+08;0;3.052122E+07;8.476761E+07;1560;0;3950;0;118;988;0;1946;5794;0;354;1046;0;0;13472;0;670;1646;
9;0;0;196560;5;381024;10;184201;4;82604;2;308416;8;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;3;6.484302E+07;0;1.25091E+08;0;2.010572E+07;4.359366E+07;0;5.136389E+07;1.271761E+08;0;8220794;3.978083E+07;0;0;5.129419E+08;0;1.898627E+07;6.713326E+07;936;0;1538;0;354;522;0;1624;3460;0;354;872;0;0;13574;0;236;1016;
