Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178162;80053;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;440;353;554;1098;848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258215;0;0;
1;0;0;190324;368930;178162;80053;298656;8;5;49;0;61;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;703267;243032;156872;0;786143;99155;0;624;10037301681;0;119799;14827;123233;0;
2;0;0;190324;368930;178162;80053;298656;6;150;148;0;274;0;0;0;29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608230;196667;109175;0;598636;101671;0;2104;10055955229;0;178532;13703;65710;0;
3;0;0;190324;368930;178162;80053;298656;13;223;105;0;249;0;0;0;91;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505872;161831;105764;0;505909;99328;0;5280;10062666523;0;200268;13703;43983;0;
4;0;0;190324;368930;178162;80053;298656;32;156;126;0;188;0;0;0;126;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;409145;131921;83046;0;407468;82957;0;5160;10065849771;0;210462;13703;33802;0;
5;0;0;190324;368930;178162;80053;298656;39;126;82;0;116;0;0;0;130;0;0;0;0;0;1;0;1;4;1;6;6;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;6;6;4;340898;109128;74468;0;337593;65343;0;8316;10067859275;0;216896;13703;27382;0;
6;0;0;190324;368930;178162;80053;298656;39;109;164;0;158;0;0;0;154;0;0;0;0;0;0;3;3;15;0;20;18;0;0;0;1;1;8;0;0;0;0;0;0;8;3;4;8;21;15;269048;88854;58467;0;268895;55616;0;7754;10070054025;0;224026;13703;20263;0;
7;0;0;190324;368930;178162;80053;298656;24;111;80;0;60;0;0;0;155;0;0;0;0;0;0;1;19;28;4;47;27;0;0;0;0;3;13;0;0;0;0;0;0;14;26;18;24;45;50;225906;73179;50556;0;227479;43692;0;9294;10070918161;0;226712;13703;17579;0;
8;0;0;190324;368930;178162;80053;298656;36;107;115;0;111;0;0;0;147;0;0;0;0;0;0;0;32;37;8;72;41;0;0;0;0;6;15;0;0;0;0;0;0;24;32;30;51;114;75;179443;60379;40579;0;180143;36326;0;13284;10072016063;0;230301;13703;13998;0;
9;0;0;190324;368930;178162;80053;298656;33;110;87;0;75;0;0;0;153;0;1;0;0;0;1;3;24;47;15;93;56;0;0;0;1;6;24;0;0;0;0;0;0;37;93;55;116;162;144;150134;49300;34231;0;152115;29504;0;11246;10072713565;0;232461;13703;11845;0;
10;0;0;190324;368930;178162;80053;298656;37;118;102;0;114;0;0;0;142;0;1;0;0;0;0;3;30;47;25;115;53;0;1;7;0;3;19;0;0;0;0;0;0;45;101;74;121;252;184;119594;40732;27506;0;120846;24045;0;13480;10073316065;0;234424;13703;9884;0;
11;0;0;190324;368930;178162;80053;298656;26;94;64;0;65;0;0;0;119;0;0;0;0;0;0;5;39;68;22;102;56;1;7;30;0;0;0;0;0;0;0;0;0;35;84;81;103;229;161;100057;33154;22878;0;101479;19086;0;15620;10073781549;0;235909;13703;8399;0;
12;0;0;190324;368929;178162;80053;298656;40;71;80;0;65;0;0;0;124;0;2;0;0;0;0;5;34;46;29;94;62;2;5;26;0;0;1;0;0;0;0;1;0;23;49;47;67;138;117;79836;27412;18384;0;80874;15934;0;27790;10074232167;0;237414;13703;6896;0;
13;0;0;190324;368929;178162;80053;298656;33;100;60;0;82;0;0;0;111;0;0;0;0;0;0;2;29;69;35;88;50;1;7;38;0;0;2;0;0;0;0;0;0;14;34;23;37;93;60;66866;22242;15045;0;67871;12897;0;29260;10074630345;0;238689;13703;5624;0;
14;0;0;190324;368929;178162;80053;298655;43;113;83;0;106;0;0;0;133;0;0;0;0;0;0;7;26;54;21;82;60;2;3;22;1;0;4;0;0;0;0;0;1;6;16;20;16;41;33;53608;18483;12120;0;54149;10612;0;30382;10074952717;0;239711;13703;4602;0;
15;0;0;190324;368929;178162;80053;298653;29;92;58;0;69;0;0;0;110;0;0;0;0;0;0;2;26;46;20;93;46;1;2;19;0;1;8;0;0;0;0;0;2;4;7;17;8;26;26;44697;15050;9896;0;45473;8713;0;26816;10075236667;0;240603;13703;3712;0;
16;0;0;190324;368929;178162;80053;298649;49;97;61;0;67;0;0;0;140;0;0;0;0;0;0;7;23;46;34;75;42;2;2;21;1;0;6;0;0;1;0;0;3;2;22;14;6;39;33;36129;12550;7926;0;36600;7348;0;13182;10075407239;0;241256;13703;3059;0;
