Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178162;80053;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;440;353;554;1098;848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258215;0;0;
1;0;0;190324;368930;178162;80053;298656;24;32;230;0;282;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556948;246671;161980;0;686980;88966;0;624;10039114767;0;125651;11210;121020;0;
2;0;0;190324;368930;178162;80053;298656;9;172;290;0;428;0;0;0;40;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570410;205200;121493;0;642804;63979;0;2226;10056941181;0;181885;9992;66041;0;
3;0;0;190324;368930;178162;80053;298656;28;211;166;0;300;0;0;0;105;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;581437;204662;137903;0;585163;73;0;3628;10061866093;0;197703;9992;50245;0;
4;0;0;190324;368930;178162;80053;298656;33;124;216;0;250;0;0;0;120;0;3;0;0;0;0;0;2;6;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584653;204241;130898;0;592996;0;0;6852;10063269371;0;202329;9992;45645;0;
5;0;0;190324;368930;178162;80053;298656;63;165;248;0;237;0;0;0;238;0;1;0;0;0;0;1;5;22;1;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;6;4;591415;203519;142591;0;582326;0;0;10666;10063568303;0;203110;9992;44887;0;
6;0;0;190324;368930;178162;80053;298656;62;206;703;0;682;0;0;0;283;0;5;0;0;0;1;0;9;55;9;14;28;0;0;0;0;0;0;0;0;0;0;0;0;8;3;4;8;21;15;586649;204312;136970;0;591626;0;0;9326;10064409739;0;206191;9992;41821;0;
7;0;0;190324;368930;178162;80053;298656;75;193;484;0;471;0;0;0;280;0;1;0;0;0;0;3;20;108;7;58;40;0;0;0;0;0;0;0;0;0;0;0;0;14;26;18;24;45;50;593934;202339;144576;0;588975;0;0;9408;10062953499;0;201091;9992;46943;0;
8;0;0;190324;368930;178162;80053;298656;76;182;1620;0;1603;0;0;0;269;0;5;0;0;0;1;1;27;118;24;78;53;0;0;0;0;0;0;0;0;0;0;0;0;24;32;30;51;114;75;584873;204055;141772;0;590010;0;0;13872;10062942023;0;201498;9992;46545;0;
9;0;0;190324;368930;178162;80053;298656;58;109;413;0;385;0;0;0;193;0;2;0;0;0;0;0;26;148;27;100;71;0;0;0;0;0;0;0;0;0;0;0;0;37;93;56;116;162;144;592749;201829;146291;0;591225;0;0;12240;10062019241;0;198072;9992;49984;0;
10;0;0;190324;368930;178162;80053;298656;43;96;1286;0;1266;0;0;0;147;0;10;0;0;0;2;1;29;199;35;121;88;0;0;0;0;0;0;0;0;0;0;0;0;45;101;74;121;252;184;582950;203783;144374;0;590302;0;0;18528;10061616007;0;196995;9992;51064;0;
11;0;0;190324;368930;178162;80053;298656;30;61;306;0;307;0;0;0;87;0;3;0;0;0;0;0;24;283;49;134;114;0;0;0;0;0;0;0;0;0;0;0;0;35;84;81;103;230;162;590609;201691;147167;0;589211;0;0;15028;10060905355;0;194545;9992;53516;0;
12;0;0;190324;368930;178162;80053;298656;15;45;696;0;696;0;0;0;56;0;3;1;0;0;0;0;28;426;64;156;139;0;0;0;0;0;0;0;0;0;0;0;0;23;50;50;67;138;114;580328;203792;146487;0;588901;0;0;29134;10060823475;0;194379;9992;53686;0;
