Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178027;79999;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258026;0;0;
1;0;0;190324;368930;178027;79999;298656;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556847;246937;161894;0;687803;88879;0;624;10038755167;0;124496;10778;122441;0;
2;0;0;190324;368930;178027;79999;298656;0;15;34;0;47;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570673;205094;120562;0;643389;64109;0;2240;10056421989;0;180429;9596;67741;0;
3;0;0;190324;368930;178027;79999;298656;2;19;27;0;37;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582026;204486;137371;0;584985;92;0;5088;10061280533;0;195835;9596;52349;0;
4;0;0;190324;368930;178027;79999;298656;5;13;28;0;29;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584609;203920;130721;0;592751;5;0;5108;10062690377;0;200510;9596;47707;0;
5;0;0;190324;368930;178027;79999;298656;5;20;19;0;9;0;0;0;35;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;591237;203225;142353;0;582307;0;0;10634;10063033571;0;201423;9596;46814;0;
6;0;0;190324;368930;178027;79999;298656;9;24;27;0;12;0;0;0;47;0;1;0;0;0;0;0;1;3;0;3;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;4;1;586003;203801;136834;0;591115;0;0;8634;10063991051;0;204943;9596;43307;0;
7;0;0;190324;368930;178027;79999;298656;13;17;46;0;38;0;0;0;38;0;0;0;0;0;0;0;2;2;3;3;9;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;2;8;3;593295;201947;144294;0;588481;0;0;16490;10062509669;0;199743;9596;48533;0;
8;0;0;190324;368930;178027;79999;298656;5;13;112;0;99;0;0;0;28;0;3;0;0;0;0;0;1;5;3;6;11;0;0;0;0;0;4;0;0;0;0;0;0;1;4;3;10;13;8;583819;203314;141795;0;588913;0;0;14256;10062578345;0;200388;9596;47894;0;
9;0;0;190324;368930;178027;79999;298656;9;11;28;0;24;0;0;0;24;0;0;0;0;0;0;0;0;8;2;12;18;0;0;0;0;0;3;0;0;0;0;0;0;5;10;7;11;10;15;591691;201101;146190;0;590382;0;0;13242;10061743111;0;197322;9596;50973;0;
