Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178027;79999;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258026;0;0;
1;0;0;190324;368930;178027;79999;298656;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560999;246404;162410;0;685065;91293;0;624;10040847799;0;131235;11322;115169;0;
2;0;0;190324;368930;178027;79999;298656;0;11;28;0;37;0;0;0;2;0;0;0;0;0;0;0;3;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568617;202760;134273;0;642544;61610;0;2236;10065015655;0;202523;10310;44937;0;
3;0;0;190324;368930;178027;79999;298656;2;21;40;0;52;0;0;0;11;0;0;0;0;0;0;2;6;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562959;203615;143751;0;583315;31;0;4920;10067455615;0;215883;10310;31593;0;
4;0;0;190324;368930;178027;79999;298656;6;16;36;0;40;0;0;0;18;0;0;0;0;0;0;9;8;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582834;203349;140754;0;585418;1;0;4964;10069209229;0;221520;10310;25963;0;
5;0;0;190324;368930;178027;79999;298656;4;23;38;0;29;0;0;0;36;0;0;0;0;0;0;12;16;37;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;571328;202233;145398;0;572918;0;0;7542;10068846759;0;218886;10310;28624;0;
6;0;0;190324;368930;178027;79999;298656;9;22;43;0;28;0;0;0;46;0;0;0;0;0;0;10;23;41;0;1;3;0;3;7;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;4;1;583003;202797;142107;0;582158;0;0;7948;10068640561;0;219661;10310;27870;0;
7;0;0;190324;368930;178027;79999;298656;16;17;93;0;87;0;0;0;39;0;0;0;0;0;0;11;21;94;0;2;2;3;2;6;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;2;8;3;573366;200716;145825;0;573465;0;0;10722;10067987509;0;216358;10310;31207;0;
8;0;0;190324;368930;178027;79999;298656;5;14;144;0;135;0;0;0;27;0;1;0;0;0;0;8;15;140;0;0;4;3;6;12;0;0;0;0;0;3;0;0;0;0;0;0;1;4;3;10;13;8;576213;201544;143007;0;577949;0;0;14456;10067770703;0;216711;10310;30854;0;
9;0;0;190324;368930;178027;79999;298656;12;13;82;0;83;0;0;0;24;0;0;0;0;0;0;14;7;86;0;0;11;2;14;29;0;0;0;0;0;5;0;0;0;0;0;0;5;10;7;11;10;15;571065;199759;146652;0;569695;0;0;15628;10067266085;0;214237;10310;33347;0;
