Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178442;79870;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258312;0;0;
1;0;0;190324;368930;178442;79870;298656;149;178;1493;0;1673;0;0;0;1;0;140;0;6;0;0;45;65;1710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561088;246520;162407;0;685049;91330;0;624;10041055771;0;131905;11497;114615;0;
2;0;0;190324;368930;178442;79870;298656;33;77;932;0;954;0;0;0;26;0;42;0;17;0;3;28;36;978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568906;203020;134217;0;642795;61728;0;2270;10065068155;0;202825;10416;44792;0;
3;0;0;190324;368930;178442;79870;298656;97;117;476;0;402;0;0;0;282;0;4;0;2;0;0;80;128;482;0;0;4;1;1;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;563309;203816;143862;0;583571;30;0;3424;10067559013;0;216255;10416;31376;0;
4;0;0;190324;368930;178442;79870;298656;54;111;724;0;617;0;0;0;146;0;41;0;4;0;81;76;72;741;0;3;37;6;4;25;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;583427;203615;140717;0;585983;0;0;5110;10069279285;0;221820;10416;25820;0;
5;0;0;190324;368930;178442;79870;298656;61;79;2774;0;2828;0;1;0;36;0;15;0;7;0;27;16;520;2378;3;3;117;14;17;53;0;0;0;2;1;59;0;0;0;0;0;0;0;0;0;0;1;1;571568;202489;145332;0;573298;0;0;10116;10068881567;0;219085;10416;28590;0;
6;0;0;190324;368930;178442;79870;298656;103;164;1476;0;1629;0;0;0;19;0;67;0;4;0;24;19;153;1571;3;7;243;26;30;147;1;1;109;0;2;19;0;0;0;0;0;0;0;1;0;0;1;1;583238;203012;142006;0;582456;0;0;8046;10068711937;0;219915;10416;27775;0;
7;0;0;190324;368930;178442;79870;298656;115;104;1584;0;1754;0;0;0;27;0;10;0;2;0;10;34;304;1465;7;20;408;47;50;220;3;2;189;0;0;0;0;0;0;0;0;0;1;3;3;4;9;4;573607;200941;145898;0;573613;0;0;9524;10068049079;0;216635;10416;31087;0;
8;0;0;190324;368930;178442;79870;298656;78;128;512;0;677;1;0;0;28;0;6;0;2;0;4;12;135;571;2;15;497;64;80;276;1;3;230;0;0;0;0;0;0;0;0;0;3;3;6;6;12;8;576426;201859;142988;0;578131;0;0;13562;10067778897;0;216878;10416;30845;0;
9;0;0;190324;368930;178442;79870;298655;66;81;175;0;270;1;0;0;46;0;1;0;3;0;1;4;74;244;8;13;653;72;90;247;1;2;285;0;0;2;0;0;0;0;0;1;2;7;9;13;23;21;570967;200153;146594;0;569635;0;0;11286;10067297283;0;214458;10416;33283;0;
