Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178442;79870;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258312;0;0;
1;0;0;190324;368930;178442;79870;298656;112;148;1106;0;1250;0;0;0;0;0;116;0;0;0;0;9;13;11;16;31;11;87;104;1084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560724;246509;162325;0;685003;91261;0;624;10040944867;0;131546;11507;114963;0;
2;0;0;190324;368930;178442;79870;298656;31;77;906;0;950;0;0;0;22;0;41;0;0;0;1;3;7;14;8;13;13;20;57;879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568866;202939;134117;0;642760;61770;0;2206;10065000347;0;202622;10409;45001;0;
3;0;0;190324;368930;178442;79870;298656;84;98;371;0;293;0;0;0;260;0;0;0;0;0;0;25;25;26;29;35;45;30;38;300;0;0;0;0;0;0;0;0;2;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563117;203659;143694;0;583264;30;0;4988;10067484501;0;216010;10409;31627;0;
4;0;0;190324;368930;178442;79870;298656;55;104;650;0;634;0;0;0;130;0;44;0;0;0;1;20;21;29;7;22;23;28;61;598;0;0;0;0;0;0;0;3;30;5;3;16;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;583059;203415;140558;0;585540;0;0;4792;10069232381;0;221660;10409;25986;0;
5;0;0;190324;368930;178442;79870;298656;58;64;2653;0;2742;0;0;0;33;0;0;0;0;0;0;4;1;8;8;18;361;46;45;2284;0;0;0;0;0;0;3;3;88;11;13;48;0;0;0;2;1;46;0;0;0;0;0;0;0;0;0;0;1;1;571106;202231;145143;0;572692;1;0;5152;10068853483;0;218979;10409;28704;0;
6;0;0;190324;368930;178442;79870;298656;74;141;1403;0;1547;0;0;0;14;0;57;0;0;0;0;2;6;10;4;20;125;68;115;1268;0;0;0;0;0;0;0;6;187;16;28;122;0;1;58;0;2;39;0;0;0;0;0;0;0;1;0;0;1;1;582575;202695;141830;0;581770;0;0;10524;10068699085;0;219868;10409;27830;0;
7;0;0;190324;368930;178442;79870;298656;122;102;2072;0;2275;0;0;0;19;0;1;0;1;0;0;13;5;27;10;9;204;99;88;1841;0;0;0;0;0;0;7;18;334;37;41;199;3;2;155;0;0;0;0;0;0;0;0;0;1;3;3;4;9;4;572889;200531;145594;0;572795;0;0;9570;10068044271;0;216608;10409;31122;0;
8;0;0;190324;368930;178442;79870;298656;86;123;555;0;750;0;0;0;12;0;0;0;0;0;2;1;3;4;2;14;107;83;106;444;0;0;0;0;0;0;1;14;399;54;69;244;0;3;184;0;0;0;0;0;0;0;0;0;3;3;6;6;12;8;575557;201402;142762;0;577221;0;0;11698;10067780083;0;216901;10409;30829;0;
9;0;0;190324;368930;178442;79870;298656;60;51;195;0;282;0;0;0;24;0;0;0;0;0;0;1;1;1;3;18;28;56;32;166;0;0;0;0;0;0;5;13;562;66;80;220;1;2;259;0;0;0;0;0;0;0;0;0;2;7;8;13;23;21;570046;199646;146350;0;568741;0;0;11346;10067341399;0;214543;10409;33205;0;
