Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;177759;80204;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;9;11;19;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;257963;0;0;
1;0;0;190324;368930;177759;80204;298656;97;145;607;0;695;0;0;1;0;0;153;0;0;0;0;0;0;0;43;94;30;54;51;577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560452;246493;162496;0;685018;91291;0;622;10041013651;0;131771;11140;114722;0;
2;0;0;190324;368930;177759;80204;298656;34;37;551;0;597;0;0;0;20;0;5;0;0;0;0;0;0;0;5;6;17;29;31;534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568851;203010;134105;0;642662;61413;0;2204;10065089677;0;202704;10208;44748;0;
3;0;0;190324;368930;177759;80204;298656;22;32;113;0;90;0;0;0;60;0;17;0;0;0;0;2;5;6;8;16;25;12;11;82;0;0;0;0;0;0;0;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563451;203965;143860;0;583821;24;0;5074;10067519193;0;216084;10208;31382;0;
4;0;0;190324;368930;177759;80204;298656;18;29;445;0;473;0;0;0;8;0;7;0;0;0;4;2;1;1;0;7;11;16;21;433;0;0;0;0;0;0;2;0;17;5;5;14;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;583442;203794;140691;0;586096;0;0;7334;10069233211;0;221570;10208;25910;0;
5;0;0;190324;368930;177759;80204;298656;49;47;651;0;704;0;3;0;36;0;4;0;0;0;0;15;24;144;0;4;10;34;19;497;0;0;0;0;0;0;3;1;58;15;17;41;0;0;0;1;0;31;0;0;0;0;0;0;0;0;0;0;0;0;571727;202626;145473;0;573326;0;0;10374;10068824625;0;218935;10208;28582;0;
6;0;0;190324;368930;177759;80204;298656;58;80;710;0;799;0;0;0;40;0;9;0;0;0;0;6;10;6;3;15;20;49;55;684;0;0;0;0;0;0;2;4;112;24;26;73;0;0;0;1;1;48;0;0;0;0;0;0;0;0;1;0;0;0;583479;203166;142156;0;582626;0;0;10488;10068671261;0;219605;10208;27936;0;
7;0;0;190324;368930;177759;80204;298656;34;37;368;0;375;0;2;0;48;0;13;0;1;0;0;3;5;11;10;8;24;21;24;333;0;0;0;0;0;0;1;8;173;16;57;120;1;1;52;0;1;12;0;0;0;0;0;0;0;2;1;0;3;1;573911;201019;145809;0;573805;0;0;13916;10068038861;0;216387;10208;31185;0;
8;0;0;190324;368930;177759;80204;298656;48;62;491;0;536;0;1;0;58;0;1;0;0;0;5;4;2;10;10;13;16;34;47;465;0;0;0;0;0;0;4;11;202;31;33;135;2;3;83;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;576802;201980;143210;0;578397;0;0;10316;10067743301;0;216594;10208;30978;0;
9;0;0;190324;368930;177759;80204;298656;18;32;344;0;361;0;0;0;16;0;0;0;7;0;10;0;0;1;3;14;7;15;18;336;0;0;0;0;0;0;1;7;210;36;27;158;1;2;93;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;571619;200165;146663;0;570347;0;0;12738;10067262313;0;214093;10208;33499;0;
