Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;177866;80118;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;257984;0;0;
1;0;0;190324;368930;177866;80118;298656;103;126;1154;0;1326;0;0;0;0;0;57;0;0;0;0;0;0;0;18;39;9;85;87;1145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;559623;246486;162265;0;685188;91237;0;624;10040816835;0;131136;11168;115350;0;
2;0;0;190324;368930;177866;80118;298656;3;13;123;0;134;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;5;3;12;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569053;202991;133952;0;642746;61411;0;2210;10064974845;0;202288;10190;45203;0;
3;0;0;190324;368930;177866;80118;298656;3;0;19;0;6;0;0;0;0;0;15;0;1;0;0;0;0;0;2;0;13;1;0;6;0;0;0;0;0;0;0;0;8;0;2;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;563302;203829;143643;0;583482;23;0;4924;10067399203;0;215687;10190;31814;0;
4;0;0;190324;368930;177866;80118;298656;2;6;45;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;45;0;0;0;0;0;0;0;3;18;3;3;19;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;583088;203617;140448;0;585627;0;0;4780;10069124001;0;221210;10190;26307;0;
5;0;0;190324;368930;177866;80118;298656;3;3;33;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;33;0;0;0;0;0;0;1;6;101;9;8;39;0;0;0;1;3;61;0;0;0;0;0;0;0;0;0;0;0;0;571317;202336;145137;0;572705;1;0;10626;10068738219;0;218606;10190;28950;0;
6;0;0;190324;368930;177866;80118;298656;13;48;584;0;644;0;0;0;0;0;1;0;0;0;0;0;0;1;11;45;527;2;3;56;0;0;0;0;0;0;4;10;168;24;19;74;0;2;61;1;1;27;0;0;0;0;0;0;0;0;0;0;0;1;582598;202800;141885;0;581774;0;0;10520;10068643025;0;219512;10190;28070;0;
7;0;0;190324;368930;177866;80118;298656;60;28;693;0;769;0;0;0;10;0;2;0;0;0;0;0;0;0;10;5;29;50;23;664;0;0;0;0;0;0;3;10;221;16;17;101;1;0;125;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;573072;200603;145450;0;572789;0;0;12814;10068036405;0;216402;10190;31210;0;
8;0;0;190324;368930;177866;80118;298656;55;75;791;0;902;0;0;0;16;0;2;0;0;0;1;0;0;1;3;6;7;52;69;783;0;0;0;0;0;0;2;12;197;21;19;76;0;2;102;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;575550;201437;142879;0;577131;1;0;11472;10067799199;0;216749;10190;30863;0;
9;0;0;190324;368930;177866;80118;298656;14;22;190;0;213;0;0;0;6;0;0;0;7;0;0;0;0;0;0;7;1;14;15;189;0;0;0;0;0;0;2;2;106;14;13;80;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570316;199676;146122;0;568947;0;0;12792;10067335419;0;214241;10190;33391;0;
