ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;886000;0;0;0;25;0;25;10;0;10;13;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886000;0;0;0;0;0;0;0;0;0;0;0
0;886000;3443;0;3443;0;0;25;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;885984;191929;89038;302384;627095;0;886000;0;0;0;0;0;0;0;0;1;0;0
0;886000;4161;0;4161;2;0;27;1;0;11;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;885970;265613;194140;0;711448;0;886000;0;0;0;0;0;0;0;0;2;0;0
0;886000;4153;0;4153;19;0;46;29;0;40;41;3;4;0;0;0;0;0;0;0;0;5;0;5;5;0;0;6;0;0;885736;261942;189702;0;713646;0;886000;0;0;0;0;0;0;0;0;3;0;0
0;886000;4335;0;4335;74;0;120;58;0;98;110;12;10;0;0;0;0;0;0;0;0;25;0;25;23;2;0;31;0;0;885637;255607;186404;0;707904;0;886000;0;0;0;0;0;0;0;0;4;0;0
0;886000;4371;0;4371;205;0;325;251;0;349;382;38;36;0;0;0;0;0;0;0;0;46;0;46;45;1;0;77;0;0;885749;252578;184542;0;713773;0;886000;0;0;0;0;0;0;0;0;5;0;0
0;886000;3973;0;3973;349;0;674;431;0;780;664;57;59;0;0;0;0;0;0;0;0;29;0;29;28;0;1;106;79;79;885650;253784;184088;0;690422;0;886000;0;0;0;0;0;0;0;0;6;0;0
0;886000;3072;0;3072;447;0;1119;540;0;1320;845;81;61;0;0;0;0;0;2;0;2;0;0;0;0;0;0;106;152;231;885459;250543;180244;0;695246;0;886000;0;0;0;0;0;0;0;0;7;0;0
0;886000;2256;0;2256;430;0;1545;483;0;1802;785;64;64;0;0;0;0;0;7;0;7;0;0;0;0;0;0;106;114;345;885579;248215;180359;0;681690;0;886000;0;0;0;0;0;0;0;0;8;0;0
0;886000;1653;0;1653;296;0;1836;344;0;2143;555;49;36;0;0;0;0;0;15;0;15;0;0;0;0;0;0;106;91;436;885650;246238;178880;0;680782;0;886000;0;0;0;0;0;0;0;0;9;0;0
0;886000;1308;0;1308;222;0;2051;286;0;2421;428;35;45;0;0;0;0;0;30;0;30;0;0;0;0;0;0;106;59;495;885500;244162;177379;0;669521;0;886000;0;0;0;0;0;0;0;0;10;0;0
0;885997;1021;0;1021;164;0;2190;177;0;2583;290;28;23;3;0;3;0;0;67;0;67;3;0;3;3;0;0;106;54;549;885553;243264;176275;0;667057;0;886000;0;3;3;0;0;0;0;0;11;0;0
0;885980;726;0;726;138;0;2287;188;0;2708;280;24;22;20;0;20;0;0;154;0;154;12;0;12;10;2;0;106;32;576;885604;240876;174274;0;654839;0;885997;5;15;20;0;0;0;0;0;12;0;0
0;885950;553;0;553;88;0;2282;116;0;2735;182;9;13;50;0;50;0;0;306;0;306;15;0;15;14;1;0;106;18;579;885506;239126;173001;0;652959;0;885980;20;30;50;0;0;0;0;0;13;0;0
0;885913;419;0;419;79;0;2207;73;0;2626;135;12;5;87;0;86;1;0;605;0;605;14;0;14;14;0;0;104;7;565;885526;237912;171915;0;643810;0;885950;41;46;87;0;0;0;0;0;14;0;0
