ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;886000;0;0;0;200;0;200;400;0;400;217;257;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886000;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;0;0
0;886000;255;0;255;0;0;200;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;885968;192302;89400;302384;627092;0;886000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;886000;387;0;387;0;0;200;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;885969;265197;193949;0;711096;0;886000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
0;886000;503;0;503;0;0;200;2;0;402;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;885741;261622;189473;0;713111;0;886000;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0
0;886000;560;0;560;4;0;204;4;0;406;5;3;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;885659;255455;186140;0;708651;0;886000;0;0;0;0;3;0;0;0;4;1;0;0;0;0;4;0;0
0;886000;645;0;645;11;0;215;19;0;423;18;10;2;0;0;0;0;0;2;0;2;5;0;5;4;1;0;6;0;0;885777;252537;184231;0;714132;0;886000;0;0;0;0;21;1;0;0;6;2;0;0;0;0;5;0;0
0;886000;711;0;711;21;0;232;51;0;467;35;30;7;0;0;0;0;0;13;0;13;8;0;8;6;1;1;14;0;0;885706;253612;183930;0;690529;0;886000;0;0;0;0;53;2;0;0;9;8;0;0;0;0;6;0;0
0;886000;717;0;717;33;0;254;58;0;505;47;38;6;0;0;0;0;0;44;0;44;15;0;15;12;3;0;29;0;0;885586;250419;180160;0;695835;0;886000;0;0;0;0;58;0;2;0;21;10;0;0;0;0;7;0;0
0;886000;867;0;867;38;0;272;74;0;546;42;64;6;0;0;0;0;0;97;0;97;12;0;12;8;3;1;41;0;0;885702;247877;179895;0;681533;0;886000;0;0;0;0;91;1;2;0;11;7;0;0;0;0;8;0;0
0;886000;970;0;970;46;0;280;86;0;575;44;88;0;0;0;0;0;0;192;0;192;18;0;18;13;5;0;59;0;0;885680;245947;178626;0;679994;0;886000;0;0;0;0;116;0;0;0;10;6;0;0;0;0;9;0;0
