ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;857910;0;0;0;100;0;100;250;0;250;124;148;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;857910;0;0;0;0;0;0;0;0;0;350;190324;178027;79999;0;0;9999999999;0;0;258026;0;0;0;0;0;0;0;0;0
0;857910;0;0;0;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;855224;256272;175310;0;722042;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;624;10040268077;0;129352;1412;126920;0;0;0;0;0;1;0;0
0;857910;41;0;41;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;728280;254349;146993;0;726047;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;2882;10054250599;0;173006;329;84496;0;0;0;0;0;2;0;0
0;857910;77;0;77;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;735704;254656;167844;0;718059;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;5084;10058705353;0;187347;329;70168;0;0;0;0;0;3;0;0
0;857910;124;0;124;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;733905;253691;159638;0;724314;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;5288;10059955691;0;191211;329;66331;0;0;0;0;0;4;0;0
0;857910;144;0;144;0;0;98;1;0;250;1;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;737684;252350;172723;0;714262;0;857910;0;0;0;0;1;0;0;0;0;0;190324;178027;79999;0;6562;10059968383;0;190961;329;66596;0;0;0;0;0;5;0;0
0;857910;177;0;177;0;0;96;4;0;248;0;4;0;0;0;0;0;0;11;0;11;0;0;0;0;0;0;0;0;0;730463;252307;167281;0;713146;0;857910;0;0;0;0;4;0;0;0;0;0;190324;178027;79999;0;8718;10061504273;0;196220;329;61356;0;0;0;0;0;6;0;0
0;857910;171;0;171;4;0;94;8;0;243;9;3;0;0;0;0;0;0;30;0;30;2;0;2;1;1;0;2;0;0;734456;250194;175434;0;720917;0;857910;0;0;0;0;7;0;0;0;2;3;190324;178027;79999;0;10722;10060373021;0;192232;329;65362;0;0;0;0;0;7;0;0
0;857910;177;0;177;9;0;95;18;0;230;13;14;0;0;0;0;0;0;69;0;69;4;0;4;4;0;0;6;0;0;725903;250786;173485;0;709405;0;857910;0;0;0;0;25;0;0;0;1;1;190324;178027;79999;0;13394;10060557337;0;193146;329;64461;0;0;0;0;0;8;0;0
0;857910;178;0;178;17;0;90;14;0;208;21;10;0;0;0;0;0;0;127;0;127;6;0;6;6;0;0;12;0;0;730900;248233;179185;0;720281;0;857910;0;0;0;0;17;0;0;0;8;6;190324;178027;79999;0;12026;10059844807;0;190533;329;67084;0;0;0;0;0;9;0;0
